name,price,img_url
Observer Ward,0,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f6/Observer_Ward_icon.png
Blood Grenade,50,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/03/Blood_Grenade_icon.png
Clarity,50,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/77/Clarity_icon.png
Sentry Ward,50,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/3e/Sentry_Ward_icon.png
Smoke of Deceit,50,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/04/Smoke_of_Deceit_icon.png
Enchanted Mango,65,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/70/Enchanted_Mango_icon.png
Faerie Fire,65,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/54/Faerie_Fire_icon.png
Dust of Appearance,80,https://static.wikia.nocookie.net/dota2_gamepedia/images/e/ed/Dust_of_Appearance_icon.png
Tango,90,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/fd/Tango_icon.png
Healing Salve,100,https://static.wikia.nocookie.net/dota2_gamepedia/images/3/36/Healing_Salve_icon.png
Town Portal Scroll,100,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/46/Town_Portal_Scroll_icon.png
Bottle,675,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/fa/Bottle_%28Full%29_icon.png
Aghanim's Shard,1400,https://static.wikia.nocookie.net/dota2_gamepedia/images/d/d8/Aghanim%27s_Shard_icon.png
Iron Branch,50,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/a3/Iron_Branch_icon.png
Gauntlets of Strength,140,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/88/Gauntlets_of_Strength_icon.png
Mantle of Intelligence,140,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/cf/Mantle_of_Intelligence_icon.png
Slippers of Agility,140,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/5c/Slippers_of_Agility_icon.png
Circlet,155,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/28/Circlet_icon.png
Band of Elvenskin,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/ca/Band_of_Elvenskin_icon.png
Belt of Strength,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/f/f6/Belt_of_Strength_icon.png
Crown,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/4/46/Crown_icon.png
Robe of the Magi,450,https://static.wikia.nocookie.net/dota2_gamepedia/images/b/b3/Robe_of_the_Magi_icon.png
